Local Area Unemployment Statistics,,,,,,,,
Original Data Value,,,,,,,,

Series Id:,"LAUST360000000000003,LAUST360000000000004,LAUST360000000000005,LAUST360000000000006,LAUST360000000000007,LAUST360000000000008,LAUST360000000000009",,,,,,,
Not Seasonally Adjusted,,,,,,,,
Area:,New York,,,,,,,
Area Type:,Statewide,,,,,,,
State/Region/Division:,New York,,,,,,,
Years:,2010 to 2020,,,,,,,

Year,Period,civilian noninstitutional population,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2016,Mar,15724854,61.1,58.0,9602722,9117614,485108,5.1
2016,Apr,15725331,60.6,57.8,9532717,9093925,438792,4.6
2016,May,15725735,60.5,57.9,9519574,9108268,411306,4.3
2016,Jun,15726412,61.1,58.2,9604854,9151672,453182,4.7
2016,Jul,15728097,61.4,58.3,9653323,9164122,489201,5.1
2016,Aug,15728795,61.0,57.9,9592984,9107460,485524,5.1
2016,Sep,15729481,60.6,57.6,9537820,9067483,470337,4.9
2016,Oct,15730438,60.6,57.7,9535094,9074057,461037,4.8
2016,Nov,15730060,60.2,57.5,9472041,9045965,426076,4.5
2016,Dec,15728811,60.0,57.3,9439099,9005990,433109,4.6
2017,Jan,15727583,60.3,57.1,9484471,8985918,498553,5.3
2017,Feb,15724597,60.6,57.4,9530985,9025322,505663,5.3
2017,Mar,15721839,60.8,58.0,9564246,9115615,448631,4.7
2017,Apr,15719416,60.7,58.1,9544495,9126556,417939,4.4
2017,May,15717767,60.7,58.0,9536535,9113010,423525,4.4
2017,Jun,15716449,61.3,58.5,9630646,9187820,442826,4.6
2017,Jul,15715968,61.6,58.6,9688390,9210611,477779,4.9
2017,Aug,15715490,61.1,58.1,9606618,9126918,479700,5.0
2017,Sep,15715143,61.0,58.2,9584867,9148316,436551,4.6
2017,Oct,15714414,60.6,57.9,9521411,9102738,418673,4.4
2017,Nov,15712623,60.3,57.7,9471196,9058683,412513,4.4
2017,Dec,15709991,60.0,57.4,9425072,9010206,414866,4.4
2018,Jan,15706720,60.1,57.1,9442262,8965257,477005,5.1
2018,Feb,15702910,60.7,57.6,9530727,9043997,486730,5.1
2018,Mar,15699331,60.7,57.9,9526818,9089256,437562,4.6
2018,Apr,15696287,60.4,58.0,9483047,9097720,385327,4.1
2018,May,15693628,60.5,58.3,9494365,9143427,350938,3.7
2018,Jun,15691389,61.2,58.7,9606105,9211440,394665,4.1
2018,Jul,15689803,61.5,59.0,9652822,9251438,401384,4.2
2018,Aug,15688696,60.7,58.2,9520862,9132506,388356,4.1
2018,Sep,15687535,60.5,58.3,9485760,9139465,346295,3.7
2018,Oct,15686211,60.8,58.6,9533682,9184839,348843,3.7
2018,Nov,15683199,60.5,58.4,9493530,9155614,337916,3.6
2018,Dec,15679291,60.5,58.1,9492448,9117427,375021,4.0
2019,Jan,15674769,60.7,57.8,9515496,9062792,452704,4.8
2019,Feb,15669799,60.9,58.1,9542016,9108350,433666,4.5
2019,Mar,15664915,60.8,58.3,9529122,9128552,400570,4.2
2019,Apr,15660630,60.3,58.2,9449425,9107179,342246,3.6
2019,May,15657036,60.4,58.2,9457173,9112109,345064,3.6
2019,Jun,15653901,60.9,58.6,9538972,9175542,363430,3.8
2019,Jul,15651384,61.3,58.8,9596950,9196608,400342,4.2
2019,Aug,15650374,61.0,58.4,9539835,9146284,393551,4.1
2019,Sep,15649276,60.7,58.5,9504828,9162134,342694,3.6
2019,Oct,15648062,61.0,58.7,9543205,9188847,354358,3.7
2019,Nov,15645194,60.6,58.5,9487235,9145859,341376,3.6
2019,Dec,15641452,60.5,58.3,9468280,9116352,351928,3.7
2020,Jan,15637099,60.9,58.4,9527725,9136585,391140,4.1
2020,Feb,15632375,61.2,58.8,9566614,9190899,375715,3.9
