"Name","Commuting by Means of Transportation"
"Description","The share of individuals who worked in the last week by their usual means of transportation.&nbsp;""Public transit"" includes subway, bus, railroad, and ferry; ""Carpool, Taxi, Other"" includes motorcycle or any other method not listed."
"Source Notes","U.S. Census Bureau, American Community Survey 1-Year Estimates, Table B08006 (2012-2019); retrieved from&nbsp;<a href=""https://data.census.gov/"" target=""_blank"">https://data.census.gov/</a>."
"Notes",""

Location,Means of Transportation,TimeFrame,DataFormat,Data,Fips
Astoria,Bicycle,2013,Percent,0.01418,401
Sunnyside/Woodside,Bicycle,2013,Percent,0.01332,402
Jackson Heights,Bicycle,2013,Percent,0.02019,403
Elmhurst/Corona,Bicycle,2013,Percent,0.01127,404
Ridgewood/Glendale,Bicycle,2013,Percent,0.01387,405
Rego Park/Forest Hills,Bicycle,2013,Percent,0.0006,406
Flushing,Bicycle,2013,Percent,0.00253,407
Fresh Meadows/Briarwood,Bicycle,2013,Percent,0.00143,408
Woodhaven,Bicycle,2013,Percent,0.00066,409
Howard Beach,Bicycle,2013,Percent,0.00051,410
Bayside,Bicycle,2013,Percent,0.00154,411
Jamaica/St. Albans,Bicycle,2013,Percent,0,412
Queens Village,Bicycle,2013,Percent,0,413
The Rockaways,Bicycle,2013,Percent,0.02,414
St. George,Bicycle,2013,Percent,0.00323,501
South Beach,Bicycle,2013,Percent,0.00166,502
Tottenville,Bicycle,2013,Percent,0,503
Bronx,Bicycle,2013,Percent,0.00438,36005
Brooklyn,Bicycle,2013,Percent,0.01632,36047
Manhattan,Bicycle,2013,Percent,0.0201,36061
Queens,Bicycle,2013,Percent,0.007,36081
Staten Island,Bicycle,2013,Percent,0.00162,36085
New York City,Bicycle,2013,Percent,0.01208,3651000
Battery Park/Tribeca,Bicycle,2014,Percent,0.04243,101
Greenwich Village,Bicycle,2014,Percent,0.04243,102
Lower East Side,Bicycle,2014,Percent,0.0604,103
Chelsea/Clinton,Bicycle,2014,Percent,0.02228,104
Midtown Business District,Bicycle,2014,Percent,0.02228,105
Murray Hill/Stuyvesant,Bicycle,2014,Percent,0.01961,106
Upper West Side,Bicycle,2014,Percent,0.01172,107
Upper East Side,Bicycle,2014,Percent,0.00779,108
Manhattanville,Bicycle,2014,Percent,0.00925,109
Central Harlem,Bicycle,2014,Percent,0.01,110
East Harlem,Bicycle,2014,Percent,0.0072,111
Washington Heights,Bicycle,2014,Percent,0.00152,112
Mott Haven,Bicycle,2014,Percent,0.00103,201
Hunts Point,Bicycle,2014,Percent,0.00103,202
Morrisania,Bicycle,2014,Percent,0.00168,203
Concourse/Highbridge,Bicycle,2014,Percent,0,204
University Heights,Bicycle,2014,Percent,0,205
East Tremont,Bicycle,2014,Percent,0.00168,206
Bedford Park,Bicycle,2014,Percent,0.00619,207
Riverdale,Bicycle,2014,Percent,0.00427,208
Unionport/Soundview,Bicycle,2014,Percent,0.00236,209
Throgs Neck,Bicycle,2014,Percent,0.00401,210
Pelham Parkway,Bicycle,2014,Percent,0.00091,211
Williamsbridge,Bicycle,2014,Percent,0.00306,212
Williamsburg/Greenpoint,Bicycle,2014,Percent,0.02733,301
Fort Greene/Brooklyn Hts,Bicycle,2014,Percent,0.03672,302
Bedford Stuyvesant,Bicycle,2014,Percent,0.0265,303
Bushwick,Bicycle,2014,Percent,0.02356,304
East New York,Bicycle,2014,Percent,0.00208,305
Park Slope,Bicycle,2014,Percent,0.0327,306
Sunset Park,Bicycle,2014,Percent,0.01253,307
Crown Heights North,Bicycle,2014,Percent,0.03744,308
Crown Heights South,Bicycle,2014,Percent,0.01481,309
Bay Ridge,Bicycle,2014,Percent,0.00594,310
Bensonhurst,Bicycle,2014,Percent,0.01363,311
Borough Park,Bicycle,2014,Percent,0.01814,312
Coney Island,Bicycle,2014,Percent,0.00196,313
Flatbush/Midwood,Bicycle,2014,Percent,0.02332,314
Sheepshead Bay,Bicycle,2014,Percent,0.00581,315
Brownsville,Bicycle,2014,Percent,0,316
East Flatbush,Bicycle,2014,Percent,0.00451,317
Canarsie,Bicycle,2014,Percent,0.0005,318
Astoria,Bicycle,2014,Percent,0.00928,401
Sunnyside/Woodside,Bicycle,2014,Percent,0.00596,402
Jackson Heights,Bicycle,2014,Percent,0.01256,403
Elmhurst/Corona,Bicycle,2014,Percent,0.00816,404
Ridgewood/Glendale,Bicycle,2014,Percent,0.00832,405
Rego Park/Forest Hills,Bicycle,2014,Percent,0.0009,406
Flushing,Bicycle,2014,Percent,0.0021,407
Fresh Meadows/Briarwood,Bicycle,2014,Percent,0.00222,408
Woodhaven,Bicycle,2014,Percent,0.00123,409
Howard Beach,Bicycle,2014,Percent,0.00247,410
Bayside,Bicycle,2014,Percent,0.00191,411
Jamaica/St. Albans,Bicycle,2014,Percent,0.00148,412
Queens Village,Bicycle,2014,Percent,0.00166,413
The Rockaways,Bicycle,2014,Percent,0.00307,414
St. George,Bicycle,2014,Percent,0.00325,501
South Beach,Bicycle,2014,Percent,0,502
Tottenville,Bicycle,2014,Percent,0,503
Bronx,Bicycle,2014,Percent,0.00236,36005
Brooklyn,Bicycle,2014,Percent,0.01654,36047
Manhattan,Bicycle,2014,Percent,0.01915,36061
Queens,Bicycle,2014,Percent,0.00458,36081
Staten Island,Bicycle,2014,Percent,0.00117,36085
New York City,Bicycle,2014,Percent,0.01095,3651000
Battery Park/Tribeca,Bicycle,2015,Percent,0.0377,101
Greenwich Village,Bicycle,2015,Percent,0.0377,102
Lower East Side,Bicycle,2015,Percent,0.0421,103
Chelsea/Clinton,Bicycle,2015,Percent,0.02593,104
Midtown Business District,Bicycle,2015,Percent,0.02593,105
Murray Hill/Stuyvesant,Bicycle,2015,Percent,0.01334,106
Upper West Side,Bicycle,2015,Percent,0.02393,107
Upper East Side,Bicycle,2015,Percent,0.01808,108
Manhattanville,Bicycle,2015,Percent,0.01443,109
Central Harlem,Bicycle,2015,Percent,0.00755,110
Washington Heights,Bicycle,2015,Percent,0.01656,112
Mott Haven,Bicycle,2015,Percent,0.0018,201
Hunts Point,Bicycle,2015,Percent,0.0018,202
Morrisania,Bicycle,2015,Percent,0.00224,203
Concourse/Highbridge,Bicycle,2015,Percent,0,204
University Heights,Bicycle,2015,Percent,0.00259,205
East Tremont,Bicycle,2015,Percent,0.00224,206
Bedford Park,Bicycle,2015,Percent,0.00166,207
Riverdale,Bicycle,2015,Percent,0.0043,208
Unionport/Soundview,Bicycle,2015,Percent,0.00716,209
Throgs Neck,Bicycle,2015,Percent,0,210
Pelham Parkway,Bicycle,2015,Percent,0.00572,211
Williamsbridge,Bicycle,2015,Percent,0.00242,212
Williamsburg/Greenpoint,Bicycle,2015,Percent,0.03286,301
Fort Greene/Brooklyn Hts,Bicycle,2015,Percent,0.04472,302
Bedford Stuyvesant,Bicycle,2015,Percent,0.02704,303
Bushwick,Bicycle,2015,Percent,0.03861,304
East New York,Bicycle,2015,Percent,0.00164,305
Park Slope,Bicycle,2015,Percent,0.02562,306
Sunset Park,Bicycle,2015,Percent,0.01829,307
Crown Heights North,Bicycle,2015,Percent,0.01899,308
Crown Heights South,Bicycle,2015,Percent,0.01302,309
Bay Ridge,Bicycle,2015,Percent,0.00962,310
Bensonhurst,Bicycle,2015,Percent,0.00662,311
Borough Park,Bicycle,2015,Percent,0.0118,312
Coney Island,Bicycle,2015,Percent,0.01021,313
Flatbush/Midwood,Bicycle,2015,Percent,0.01161,314
Sheepshead Bay,Bicycle,2015,Percent,0.00651,315
East Flatbush,Bicycle,2015,Percent,0.00176,317
Canarsie,Bicycle,2015,Percent,0.00489,318
Astoria,Bicycle,2015,Percent,0.01533,401
Sunnyside/Woodside,Bicycle,2015,Percent,0.00918,402
Jackson Heights,Bicycle,2015,Percent,0.00551,403
Elmhurst/Corona,Bicycle,2015,Percent,0.01255,404
Ridgewood/Glendale,Bicycle,2015,Percent,0.00579,405
Rego Park/Forest Hills,Bicycle,2015,Percent,0.00429,406
Flushing,Bicycle,2015,Percent,0,407
Fresh Meadows/Briarwood,Bicycle,2015,Percent,0,408
Woodhaven,Bicycle,2015,Percent,0.00354,409
Howard Beach,Bicycle,2015,Percent,0.00122,410
Bayside,Bicycle,2015,Percent,0.00048,411
Jamaica/St. Albans,Bicycle,2015,Percent,0.00289,412
Queens Village,Bicycle,2015,Percent,0.00302,413
The Rockaways,Bicycle,2015,Percent,0.00423,414
St. George,Bicycle,2015,Percent,0.00229,501
South Beach,Bicycle,2015,Percent,0.00265,502
Tottenville,Bicycle,2015,Percent,0,503
Bronx,Bicycle,2015,Percent,0.00288,36005
Brooklyn,Bicycle,2015,Percent,0.0162,36047
Manhattan,Bicycle,2015,Percent,0.0216,36061
Queens,Bicycle,2015,Percent,0.00485,36081
Staten Island,Bicycle,2015,Percent,0.00155,36085
New York City,Bicycle,2015,Percent,0.01154,3651000
Battery Park/Tribeca,Bicycle,2016,Percent,0.0193,101
Greenwich Village,Bicycle,2016,Percent,0.0193,102
Lower East Side,Bicycle,2016,Percent,0.04208,103
Chelsea/Clinton,Bicycle,2016,Percent,0.03432,104
Midtown Business District,Bicycle,2016,Percent,0.03432,105
Murray Hill/Stuyvesant,Bicycle,2016,Percent,0.01923,106
Upper West Side,Bicycle,2016,Percent,0.02848,107
Upper East Side,Bicycle,2016,Percent,0.01106,108
Manhattanville,Bicycle,2016,Percent,0.02982,109
Central Harlem,Bicycle,2016,Percent,0.01695,110
East Harlem,Bicycle,2016,Percent,0.0056,111
Washington Heights,Bicycle,2016,Percent,0.01306,112
Mott Haven,Bicycle,2016,Percent,0.01361,201
Hunts Point,Bicycle,2016,Percent,0.01361,202
Morrisania,Bicycle,2016,Percent,0.00125,203
Concourse/Highbridge,Bicycle,2016,Percent,0.00059,204
University Heights,Bicycle,2016,Percent,0.00659,205
East Tremont,Bicycle,2016,Percent,0.00125,206
Bedford Park,Bicycle,2016,Percent,0.00311,207
Riverdale,Bicycle,2016,Percent,0.00509,208
Unionport/Soundview,Bicycle,2016,Percent,0.00061,209
Throgs Neck,Bicycle,2016,Percent,0,210
Pelham Parkway,Bicycle,2016,Percent,0.00979,211
Williamsbridge,Bicycle,2016,Percent,0.00269,212
