"Name","Commuting by Means of Transportation"
"Description","The share of individuals who worked in the last week by their usual means of transportation.&nbsp;""Public transit"" includes subway, bus, railroad, and ferry; ""Carpool, Taxi, Other"" includes motorcycle or any other method not listed."
"Source Notes","U.S. Census Bureau, American Community Survey 1-Year Estimates, Table B08006 (2012-2019); retrieved from&nbsp;<a href=""https://data.census.gov/"" target=""_blank"">https://data.census.gov/</a>."
"Notes",""

Location,Means of Transportation,TimeFrame,DataFormat,Data,Fips
Chelsea/Clinton,"Carpool, Taxi, Other",2012,Percent,0.06207,104
Midtown Business District,"Carpool, Taxi, Other",2012,Percent,0.06207,105
Murray Hill/Stuyvesant,"Carpool, Taxi, Other",2012,Percent,0.06658,106
Upper West Side,"Carpool, Taxi, Other",2012,Percent,0.04794,107
Upper East Side,"Carpool, Taxi, Other",2012,Percent,0.09403,108
Manhattanville,"Carpool, Taxi, Other",2012,Percent,0.02457,109
Central Harlem,"Carpool, Taxi, Other",2012,Percent,0.03434,110
East Harlem,"Carpool, Taxi, Other",2012,Percent,0.04002,111
Washington Heights,"Carpool, Taxi, Other",2012,Percent,0.07161,112
Mott Haven,"Carpool, Taxi, Other",2012,Percent,0.05076,201
Hunts Point,"Carpool, Taxi, Other",2012,Percent,0.05076,202
Morrisania,"Carpool, Taxi, Other",2012,Percent,0.04356,203
Concourse/Highbridge,"Carpool, Taxi, Other",2012,Percent,0.07088,204
University Heights,"Carpool, Taxi, Other",2012,Percent,0.05907,205
East Tremont,"Carpool, Taxi, Other",2012,Percent,0.04356,206
Bedford Park,"Carpool, Taxi, Other",2012,Percent,0.07076,207
Riverdale,"Carpool, Taxi, Other",2012,Percent,0.06791,208
Unionport/Soundview,"Carpool, Taxi, Other",2012,Percent,0.05856,209
Throgs Neck,"Carpool, Taxi, Other",2012,Percent,0.07048,210
Pelham Parkway,"Carpool, Taxi, Other",2012,Percent,0.09508,211
Williamsbridge,"Carpool, Taxi, Other",2012,Percent,0.057,212
Williamsburg/Greenpoint,"Carpool, Taxi, Other",2012,Percent,0.04125,301
Fort Greene/Brooklyn Hts,"Carpool, Taxi, Other",2012,Percent,0.02648,302
Bedford Stuyvesant,"Carpool, Taxi, Other",2012,Percent,0.03745,303
Bushwick,"Carpool, Taxi, Other",2012,Percent,0.02835,304
East New York,"Carpool, Taxi, Other",2012,Percent,0.05568,305
Park Slope,"Carpool, Taxi, Other",2012,Percent,0.03705,306
Sunset Park,"Carpool, Taxi, Other",2012,Percent,0.06091,307
Crown Heights North,"Carpool, Taxi, Other",2012,Percent,0.02993,308
Crown Heights South,"Carpool, Taxi, Other",2012,Percent,0.04122,309
Bay Ridge,"Carpool, Taxi, Other",2012,Percent,0.06692,310
Bensonhurst,"Carpool, Taxi, Other",2012,Percent,0.05589,311
Borough Park,"Carpool, Taxi, Other",2012,Percent,0.07859,312
Coney Island,"Carpool, Taxi, Other",2012,Percent,0.08416,313
Flatbush/Midwood,"Carpool, Taxi, Other",2012,Percent,0.05555,314
Sheepshead Bay,"Carpool, Taxi, Other",2012,Percent,0.08433,315
Brownsville,"Carpool, Taxi, Other",2012,Percent,0.04879,316
East Flatbush,"Carpool, Taxi, Other",2012,Percent,0.04443,317
Canarsie,"Carpool, Taxi, Other",2012,Percent,0.08005,318
Astoria,"Carpool, Taxi, Other",2012,Percent,0.04389,401
Sunnyside/Woodside,"Carpool, Taxi, Other",2012,Percent,0.04553,402
Jackson Heights,"Carpool, Taxi, Other",2012,Percent,0.06952,403
Elmhurst/Corona,"Carpool, Taxi, Other",2012,Percent,0.04852,404
Ridgewood/Glendale,"Carpool, Taxi, Other",2012,Percent,0.05592,405
Rego Park/Forest Hills,"Carpool, Taxi, Other",2012,Percent,0.05017,406
Flushing,"Carpool, Taxi, Other",2012,Percent,0.15639,407
Fresh Meadows/Briarwood,"Carpool, Taxi, Other",2012,Percent,0.06613,408
Woodhaven,"Carpool, Taxi, Other",2012,Percent,0.0693,409
Howard Beach,"Carpool, Taxi, Other",2012,Percent,0.07501,410
Bayside,"Carpool, Taxi, Other",2012,Percent,0.11766,411
Jamaica/St. Albans,"Carpool, Taxi, Other",2012,Percent,0.06133,412
Queens Village,"Carpool, Taxi, Other",2012,Percent,0.06869,413
The Rockaways,"Carpool, Taxi, Other",2012,Percent,0.07647,414
St. George,"Carpool, Taxi, Other",2012,Percent,0.08095,501
South Beach,"Carpool, Taxi, Other",2012,Percent,0.08621,502
Tottenville,"Carpool, Taxi, Other",2012,Percent,0.10187,503
Bronx,"Carpool, Taxi, Other",2012,Percent,0.0645,36005
Brooklyn,"Carpool, Taxi, Other",2012,Percent,0.05335,36047
Manhattan,"Carpool, Taxi, Other",2012,Percent,0.05818,36061
Queens,"Carpool, Taxi, Other",2012,Percent,0.07357,36081
Staten Island,"Carpool, Taxi, Other",2012,Percent,0.08979,36085
New York City,"Carpool, Taxi, Other",2012,Percent,0.06372,3651000
Battery Park/Tribeca,"Carpool, Taxi, Other",2013,Percent,0.05827,101
Greenwich Village,"Carpool, Taxi, Other",2013,Percent,0.05827,102
Lower East Side,"Carpool, Taxi, Other",2013,Percent,0.04853,103
Chelsea/Clinton,"Carpool, Taxi, Other",2013,Percent,0.06319,104
Midtown Business District,"Carpool, Taxi, Other",2013,Percent,0.06319,105
Murray Hill/Stuyvesant,"Carpool, Taxi, Other",2013,Percent,0.07271,106
Upper West Side,"Carpool, Taxi, Other",2013,Percent,0.04799,107
Upper East Side,"Carpool, Taxi, Other",2013,Percent,0.08601,108
Manhattanville,"Carpool, Taxi, Other",2013,Percent,0.0302,109
Central Harlem,"Carpool, Taxi, Other",2013,Percent,0.04242,110
Washington Heights,"Carpool, Taxi, Other",2013,Percent,0.04506,112
Mott Haven,"Carpool, Taxi, Other",2013,Percent,0.03167,201
Hunts Point,"Carpool, Taxi, Other",2013,Percent,0.03167,202
Morrisania,"Carpool, Taxi, Other",2013,Percent,0.06433,203
Concourse/Highbridge,"Carpool, Taxi, Other",2013,Percent,0.046,204
University Heights,"Carpool, Taxi, Other",2013,Percent,0.05334,205
East Tremont,"Carpool, Taxi, Other",2013,Percent,0.06433,206
Bedford Park,"Carpool, Taxi, Other",2013,Percent,0.08282,207
Riverdale,"Carpool, Taxi, Other",2013,Percent,0.04692,208
Unionport/Soundview,"Carpool, Taxi, Other",2013,Percent,0.09105,209
Pelham Parkway,"Carpool, Taxi, Other",2013,Percent,0.07072,211
Williamsbridge,"Carpool, Taxi, Other",2013,Percent,0.06797,212
Williamsburg/Greenpoint,"Carpool, Taxi, Other",2013,Percent,0.04334,301
Fort Greene/Brooklyn Hts,"Carpool, Taxi, Other",2013,Percent,0.03095,302
Bedford Stuyvesant,"Carpool, Taxi, Other",2013,Percent,0.03775,303
Bushwick,"Carpool, Taxi, Other",2013,Percent,0.02677,304
East New York,"Carpool, Taxi, Other",2013,Percent,0.05528,305
Park Slope,"Carpool, Taxi, Other",2013,Percent,0.04858,306
Sunset Park,"Carpool, Taxi, Other",2013,Percent,0.07004,307
Crown Heights North,"Carpool, Taxi, Other",2013,Percent,0.04997,308
Crown Heights South,"Carpool, Taxi, Other",2013,Percent,0.03558,309
Bay Ridge,"Carpool, Taxi, Other",2013,Percent,0.06627,310
Bensonhurst,"Carpool, Taxi, Other",2013,Percent,0.09348,311
Borough Park,"Carpool, Taxi, Other",2013,Percent,0.07049,312
Coney Island,"Carpool, Taxi, Other",2013,Percent,0.06402,313
Flatbush/Midwood,"Carpool, Taxi, Other",2013,Percent,0.04801,314
Sheepshead Bay,"Carpool, Taxi, Other",2013,Percent,0.07686,315
Brownsville,"Carpool, Taxi, Other",2013,Percent,0.04204,316
East Flatbush,"Carpool, Taxi, Other",2013,Percent,0.06934,317
Canarsie,"Carpool, Taxi, Other",2013,Percent,0.06963,318
Astoria,"Carpool, Taxi, Other",2013,Percent,0.04336,401
Sunnyside/Woodside,"Carpool, Taxi, Other",2013,Percent,0.05379,402
Jackson Heights,"Carpool, Taxi, Other",2013,Percent,0.05312,403
Elmhurst/Corona,"Carpool, Taxi, Other",2013,Percent,0.07784,404
Ridgewood/Glendale,"Carpool, Taxi, Other",2013,Percent,0.07167,405
Rego Park/Forest Hills,"Carpool, Taxi, Other",2013,Percent,0.05771,406
Flushing,"Carpool, Taxi, Other",2013,Percent,0.14672,407
Fresh Meadows/Briarwood,"Carpool, Taxi, Other",2013,Percent,0.10965,408
Woodhaven,"Carpool, Taxi, Other",2013,Percent,0.08213,409
Howard Beach,"Carpool, Taxi, Other",2013,Percent,0.08393,410
Bayside,"Carpool, Taxi, Other",2013,Percent,0.10114,411
Jamaica/St. Albans,"Carpool, Taxi, Other",2013,Percent,0.06434,412
Queens Village,"Carpool, Taxi, Other",2013,Percent,0.10137,413
The Rockaways,"Carpool, Taxi, Other",2013,Percent,0.05037,414
St. George,"Carpool, Taxi, Other",2013,Percent,0.088,501
South Beach,"Carpool, Taxi, Other",2013,Percent,0.08928,502
Tottenville,"Carpool, Taxi, Other",2013,Percent,0.09567,503
Bronx,"Carpool, Taxi, Other",2013,Percent,0.06319,36005
Brooklyn,"Carpool, Taxi, Other",2013,Percent,0.05634,36047
Manhattan,"Carpool, Taxi, Other",2013,Percent,0.05617,36061
Queens,"Carpool, Taxi, Other",2013,Percent,0.07977,36081
Staten Island,"Carpool, Taxi, Other",2013,Percent,0.09112,36085
New York City,"Carpool, Taxi, Other",2013,Percent,0.06574,3651000
Battery Park/Tribeca,"Carpool, Taxi, Other",2014,Percent,0.05886,101
Greenwich Village,"Carpool, Taxi, Other",2014,Percent,0.05886,102
Lower East Side,"Carpool, Taxi, Other",2014,Percent,0.03326,103
Chelsea/Clinton,"Carpool, Taxi, Other",2014,Percent,0.05194,104
Midtown Business District,"Carpool, Taxi, Other",2014,Percent,0.05194,105
Murray Hill/Stuyvesant,"Carpool, Taxi, Other",2014,Percent,0.04328,106
Upper West Side,"Carpool, Taxi, Other",2014,Percent,0.06223,107
Upper East Side,"Carpool, Taxi, Other",2014,Percent,0.09105,108
Manhattanville,"Carpool, Taxi, Other",2014,Percent,0.02362,109
Central Harlem,"Carpool, Taxi, Other",2014,Percent,0.02182,110
East Harlem,"Carpool, Taxi, Other",2014,Percent,0.0213,111
Washington Heights,"Carpool, Taxi, Other",2014,Percent,0.04391,112
Mott Haven,"Carpool, Taxi, Other",2014,Percent,0.04293,201
Hunts Point,"Carpool, Taxi, Other",2014,Percent,0.04293,202
Morrisania,"Carpool, Taxi, Other",2014,Percent,0.0277,203
Concourse/Highbridge,"Carpool, Taxi, Other",2014,Percent,0.06823,204
University Heights,"Carpool, Taxi, Other",2014,Percent,0.05948,205
East Tremont,"Carpool, Taxi, Other",2014,Percent,0.0277,206
Bedford Park,"Carpool, Taxi, Other",2014,Percent,0.03173,207
Riverdale,"Carpool, Taxi, Other",2014,Percent,0.08166,208
Unionport/Soundview,"Carpool, Taxi, Other",2014,Percent,0.05191,209
Throgs Neck,"Carpool, Taxi, Other",2014,Percent,0.08244,210
Pelham Parkway,"Carpool, Taxi, Other",2014,Percent,0.04701,211
Williamsbridge,"Carpool, Taxi, Other",2014,Percent,0.05718,212
Williamsburg/Greenpoint,"Carpool, Taxi, Other",2014,Percent,0.02914,301
Fort Greene/Brooklyn Hts,"Carpool, Taxi, Other",2014,Percent,0.03172,302
Bedford Stuyvesant,"Carpool, Taxi, Other",2014,Percent,0.03724,303
Bushwick,"Carpool, Taxi, Other",2014,Percent,0.03235,304
East New York,"Carpool, Taxi, Other",2014,Percent,0.03416,305
Park Slope,"Carpool, Taxi, Other",2014,Percent,0.02642,306
Sunset Park,"Carpool, Taxi, Other",2014,Percent,0.06692,307
Crown Heights North,"Carpool, Taxi, Other",2014,Percent,0.02515,308
Crown Heights South,"Carpool, Taxi, Other",2014,Percent,0.03927,309
Bay Ridge,"Carpool, Taxi, Other",2014,Percent,0.08558,310
Bensonhurst,"Carpool, Taxi, Other",2014,Percent,0.08934,311
Borough Park,"Carpool, Taxi, Other",2014,Percent,0.09477,312
Coney Island,"Carpool, Taxi, Other",2014,Percent,0.07206,313
Flatbush/Midwood,"Carpool, Taxi, Other",2014,Percent,0.04217,314
Sheepshead Bay,"Carpool, Taxi, Other",2014,Percent,0.08365,315
Brownsville,"Carpool, Taxi, Other",2014,Percent,0.0287,316
East Flatbush,"Carpool, Taxi, Other",2014,Percent,0.04575,317
Canarsie,"Carpool, Taxi, Other",2014,Percent,0.07147,318
Astoria,"Carpool, Taxi, Other",2014,Percent,0.04152,401
Sunnyside/Woodside,"Carpool, Taxi, Other",2014,Percent,0.05065,402
Jackson Heights,"Carpool, Taxi, Other",2014,Percent,0.05962,403
Elmhurst/Corona,"Carpool, Taxi, Other",2014,Percent,0.081,404
Ridgewood/Glendale,"Carpool, Taxi, Other",2014,Percent,0.05359,405
Rego Park/Forest Hills,"Carpool, Taxi, Other",2014,Percent,0.05584,406
Flushing,"Carpool, Taxi, Other",2014,Percent,0.13454,407
Fresh Meadows/Briarwood,"Carpool, Taxi, Other",2014,Percent,0.06587,408
Woodhaven,"Carpool, Taxi, Other",2014,Percent,0.06042,409
Howard Beach,"Carpool, Taxi, Other",2014,Percent,0.10768,410
Bayside,"Carpool, Taxi, Other",2014,Percent,0.09884,411
Jamaica/St. Albans,"Carpool, Taxi, Other",2014,Percent,0.05531,412
Queens Village,"Carpool, Taxi, Other",2014,Percent,0.06819,413
The Rockaways,"Carpool, Taxi, Other",2014,Percent,0.11958,414
St. George,"Carpool, Taxi, Other",2014,Percent,0.06778,501
South Beach,"Carpool, Taxi, Other",2014,Percent,0.09696,502
Tottenville,"Carpool, Taxi, Other",2014,Percent,0.08073,503
Bronx,"Carpool, Taxi, Other",2014,Percent,0.05404,36005
Brooklyn,"Carpool, Taxi, Other",2014,Percent,0.05258,36047
Manhattan,"Carpool, Taxi, Other",2014,Percent,0.05064,36061
Queens,"Carpool, Taxi, Other",2014,Percent,0.07372,36081
Staten Island,"Carpool, Taxi, Other",2014,Percent,0.08052,36085
New York City,"Carpool, Taxi, Other",2014,Percent,0.05972,3651000
Battery Park/Tribeca,"Carpool, Taxi, Other",2015,Percent,0.04347,101
Greenwich Village,"Carpool, Taxi, Other",2015,Percent,0.04347,102
Lower East Side,"Carpool, Taxi, Other",2015,Percent,0.0299,103
Chelsea/Clinton,"Carpool, Taxi, Other",2015,Percent,0.04903,104
Midtown Business District,"Carpool, Taxi, Other",2015,Percent,0.04903,105
Murray Hill/Stuyvesant,"Carpool, Taxi, Other",2015,Percent,0.04852,106
Upper West Side,"Carpool, Taxi, Other",2015,Percent,0.07009,107
Upper East Side,"Carpool, Taxi, Other",2015,Percent,0.08361,108
Manhattanville,"Carpool, Taxi, Other",2015,Percent,0.03605,109
Central Harlem,"Carpool, Taxi, Other",2015,Percent,0.03176,110
Washington Heights,"Carpool, Taxi, Other",2015,Percent,0.06462,112
Mott Haven,"Carpool, Taxi, Other",2015,Percent,0.03244,201
Hunts Point,"Carpool, Taxi, Other",2015,Percent,0.03244,202
Morrisania,"Carpool, Taxi, Other",2015,Percent,0.06583,203
Concourse/Highbridge,"Carpool, Taxi, Other",2015,Percent,0.03843,204
University Heights,"Carpool, Taxi, Other",2015,Percent,0.05041,205
East Tremont,"Carpool, Taxi, Other",2015,Percent,0.06583,206
Bedford Park,"Carpool, Taxi, Other",2015,Percent,0.04703,207
Riverdale,"Carpool, Taxi, Other",2015,Percent,0.051,208
Unionport/Soundview,"Carpool, Taxi, Other",2015,Percent,0.05745,209
Throgs Neck,"Carpool, Taxi, Other",2015,Percent,0.07579,210
Pelham Parkway,"Carpool, Taxi, Other",2015,Percent,0.05993,211
Williamsbridge,"Carpool, Taxi, Other",2015,Percent,0.08218,212
Williamsburg/Greenpoint,"Carpool, Taxi, Other",2015,Percent,0.0304,301
Fort Greene/Brooklyn Hts,"Carpool, Taxi, Other",2015,Percent,0.03103,302
Bedford Stuyvesant,"Carpool, Taxi, Other",2015,Percent,0.03019,303
Bushwick,"Carpool, Taxi, Other",2015,Percent,0.01993,304
East New York,"Carpool, Taxi, Other",2015,Percent,0.04376,305
Park Slope,"Carpool, Taxi, Other",2015,Percent,0.02513,306
Sunset Park,"Carpool, Taxi, Other",2015,Percent,0.06418,307
Crown Heights North,"Carpool, Taxi, Other",2015,Percent,0.03399,308
Crown Heights South,"Carpool, Taxi, Other",2015,Percent,0.03061,309
Bay Ridge,"Carpool, Taxi, Other",2015,Percent,0.06867,310
Bensonhurst,"Carpool, Taxi, Other",2015,Percent,0.0742,311
Borough Park,"Carpool, Taxi, Other",2015,Percent,0.09522,312
Coney Island,"Carpool, Taxi, Other",2015,Percent,0.06785,313
Flatbush/Midwood,"Carpool, Taxi, Other",2015,Percent,0.06483,314
Sheepshead Bay,"Carpool, Taxi, Other",2015,Percent,0.07499,315
East Flatbush,"Carpool, Taxi, Other",2015,Percent,0.0531,317
Canarsie,"Carpool, Taxi, Other",2015,Percent,0.06647,318
Astoria,"Carpool, Taxi, Other",2015,Percent,0.0338,401
Sunnyside/Woodside,"Carpool, Taxi, Other",2015,Percent,0.05623,402
Jackson Heights,"Carpool, Taxi, Other",2015,Percent,0.07278,403
Elmhurst/Corona,"Carpool, Taxi, Other",2015,Percent,0.05803,404
Ridgewood/Glendale,"Carpool, Taxi, Other",2015,Percent,0.06893,405
Rego Park/Forest Hills,"Carpool, Taxi, Other",2015,Percent,0.0461,406
Flushing,"Carpool, Taxi, Other",2015,Percent,0.14022,407
Fresh Meadows/Briarwood,"Carpool, Taxi, Other",2015,Percent,0.07819,408
Woodhaven,"Carpool, Taxi, Other",2015,Percent,0.07256,409
Howard Beach,"Carpool, Taxi, Other",2015,Percent,0.09704,410
Bayside,"Carpool, Taxi, Other",2015,Percent,0.11359,411
Jamaica/St. Albans,"Carpool, Taxi, Other",2015,Percent,0.04789,412
Queens Village,"Carpool, Taxi, Other",2015,Percent,0.06064,413
The Rockaways,"Carpool, Taxi, Other",2015,Percent,0.08741,414
St. George,"Carpool, Taxi, Other",2015,Percent,0.07802,501
South Beach,"Carpool, Taxi, Other",2015,Percent,0.10614,502
Tottenville,"Carpool, Taxi, Other",2015,Percent,0.06579,503
Bronx,"Carpool, Taxi, Other",2015,Percent,0.05641,36005
Brooklyn,"Carpool, Taxi, Other",2015,Percent,0.05049,36047
Manhattan,"Carpool, Taxi, Other",2015,Percent,0.05193,36061
Queens,"Carpool, Taxi, Other",2015,Percent,0.07341,36081
Staten Island,"Carpool, Taxi, Other",2015,Percent,0.08171,36085
New York City,"Carpool, Taxi, Other",2015,Percent,0.05969,3651000
Battery Park/Tribeca,"Carpool, Taxi, Other",2016,Percent,0.05293,101
Greenwich Village,"Carpool, Taxi, Other",2016,Percent,0.05293,102
Lower East Side,"Carpool, Taxi, Other",2016,Percent,0.06208,103
Chelsea/Clinton,"Carpool, Taxi, Other",2016,Percent,0.03961,104
Midtown Business District,"Carpool, Taxi, Other",2016,Percent,0.03961,105
Murray Hill/Stuyvesant,"Carpool, Taxi, Other",2016,Percent,0.0473,106
Upper West Side,"Carpool, Taxi, Other",2016,Percent,0.05989,107
Upper East Side,"Carpool, Taxi, Other",2016,Percent,0.08386,108
Manhattanville,"Carpool, Taxi, Other",2016,Percent,0.0492,109
Central Harlem,"Carpool, Taxi, Other",2016,Percent,0.03557,110
East Harlem,"Carpool, Taxi, Other",2016,Percent,0.02203,111
Washington Heights,"Carpool, Taxi, Other",2016,Percent,0.04948,112
Mott Haven,"Carpool, Taxi, Other",2016,Percent,0.06197,201
Hunts Point,"Carpool, Taxi, Other",2016,Percent,0.06197,202
Morrisania,"Carpool, Taxi, Other",2016,Percent,0.04335,203
Concourse/Highbridge,"Carpool, Taxi, Other",2016,Percent,0.06997,204
University Heights,"Carpool, Taxi, Other",2016,Percent,0.04174,205
East Tremont,"Carpool, Taxi, Other",2016,Percent,0.04335,206
Bedford Park,"Carpool, Taxi, Other",2016,Percent,0.04076,207
Riverdale,"Carpool, Taxi, Other",2016,Percent,0.04653,208
Unionport/Soundview,"Carpool, Taxi, Other",2016,Percent,0.05646,209
Throgs Neck,"Carpool, Taxi, Other",2016,Percent,0.06676,210
Pelham Parkway,"Carpool, Taxi, Other",2016,Percent,0.0826,211
Williamsbridge,"Carpool, Taxi, Other",2016,Percent,0.0628,212
Williamsburg/Greenpoint,"Carpool, Taxi, Other",2016,Percent,0.03617,301
Fort Greene/Brooklyn Hts,"Carpool, Taxi, Other",2016,Percent,0.02957,302
Bedford Stuyvesant,"Carpool, Taxi, Other",2016,Percent,0.02506,303
Bushwick,"Carpool, Taxi, Other",2016,Percent,0.03788,304
East New York,"Carpool, Taxi, Other",2016,Percent,0.05508,305
Park Slope,"Carpool, Taxi, Other",2016,Percent,0.02063,306
Sunset Park,"Carpool, Taxi, Other",2016,Percent,0.08158,307
Crown Heights North,"Carpool, Taxi, Other",2016,Percent,0.03377,308
Crown Heights South,"Carpool, Taxi, Other",2016,Percent,0.03972,309
Bay Ridge,"Carpool, Taxi, Other",2016,Percent,0.07073,310
Bensonhurst,"Carpool, Taxi, Other",2016,Percent,0.05985,311
Borough Park,"Carpool, Taxi, Other",2016,Percent,0.09612,312
Coney Island,"Carpool, Taxi, Other",2016,Percent,0.06154,313
Flatbush/Midwood,"Carpool, Taxi, Other",2016,Percent,0.04962,314
Sheepshead Bay,"Carpool, Taxi, Other",2016,Percent,0.0819,315
Brownsville,"Carpool, Taxi, Other",2016,Percent,0.04884,316
East Flatbush,"Carpool, Taxi, Other",2016,Percent,0.04947,317
Canarsie,"Carpool, Taxi, Other",2016,Percent,0.06673,318
Astoria,"Carpool, Taxi, Other",2016,Percent,0.04203,401
Sunnyside/Woodside,"Carpool, Taxi, Other",2016,Percent,0.04159,402
Jackson Heights,"Carpool, Taxi, Other",2016,Percent,0.06725,403
Elmhurst/Corona,"Carpool, Taxi, Other",2016,Percent,0.06994,404
Ridgewood/Glendale,"Carpool, Taxi, Other",2016,Percent,0.05725,405
Rego Park/Forest Hills,"Carpool, Taxi, Other",2016,Percent,0.07121,406
Flushing,"Carpool, Taxi, Other",2016,Percent,0.15051,407
Fresh Meadows/Briarwood,"Carpool, Taxi, Other",2016,Percent,0.08557,408
Woodhaven,"Carpool, Taxi, Other",2016,Percent,0.06697,409
Howard Beach,"Carpool, Taxi, Other",2016,Percent,0.08073,410
Bayside,"Carpool, Taxi, Other",2016,Percent,0.11187,411
Jamaica/St. Albans,"Carpool, Taxi, Other",2016,Percent,0.05801,412
Queens Village,"Carpool, Taxi, Other",2016,Percent,0.0899,413
The Rockaways,"Carpool, Taxi, Other",2016,Percent,0.04975,414
St. George,"Carpool, Taxi, Other",2016,Percent,0.07227,501
South Beach,"Carpool, Taxi, Other",2016,Percent,0.09296,502
Tottenville,"Carpool, Taxi, Other",2016,Percent,0.06422,503
Bronx,"Carpool, Taxi, Other",2016,Percent,0.057,36005
Brooklyn,"Carpool, Taxi, Other",2016,Percent,0.05226,36047
Manhattan,"Carpool, Taxi, Other",2016,Percent,0.05335,36061
Queens,"Carpool, Taxi, Other",2016,Percent,0.07561,36081
Staten Island,"Carpool, Taxi, Other",2016,Percent,0.07546,36085
New York City,"Carpool, Taxi, Other",2016,Percent,0.06092,3651000
Battery Park/Tribeca,"Carpool, Taxi, Other",2017,Percent,0.05802,101
Greenwich Village,"Carpool, Taxi, Other",2017,Percent,0.05802,102
Lower East Side,"Carpool, Taxi, Other",2017,Percent,0.05445,103
Chelsea/Clinton,"Carpool, Taxi, Other",2017,Percent,0.05034,104
Midtown Business District,"Carpool, Taxi, Other",2017,Percent,0.05034,105
Murray Hill/Stuyvesant,"Carpool, Taxi, Other",2017,Percent,0.03954,106
Upper West Side,"Carpool, Taxi, Other",2017,Percent,0.06377,107
Upper East Side,"Carpool, Taxi, Other",2017,Percent,0.08104,108
Central Harlem,"Carpool, Taxi, Other",2017,Percent,0.03757,110
East Harlem,"Carpool, Taxi, Other",2017,Percent,0.0503,111
Washington Heights,"Carpool, Taxi, Other",2017,Percent,0.05367,112
Mott Haven,"Carpool, Taxi, Other",2017,Percent,0.05438,201
Hunts Point,"Carpool, Taxi, Other",2017,Percent,0.05438,202
Morrisania,"Carpool, Taxi, Other",2017,Percent,0.04231,203
Concourse/Highbridge,"Carpool, Taxi, Other",2017,Percent,0.03359,204
University Heights,"Carpool, Taxi, Other",2017,Percent,0.0384,205
East Tremont,"Carpool, Taxi, Other",2017,Percent,0.04231,206
Bedford Park,"Carpool, Taxi, Other",2017,Percent,0.04751,207
Riverdale,"Carpool, Taxi, Other",2017,Percent,0.05878,208
Unionport/Soundview,"Carpool, Taxi, Other",2017,Percent,0.06109,209
Throgs Neck,"Carpool, Taxi, Other",2017,Percent,0.08039,210
Pelham Parkway,"Carpool, Taxi, Other",2017,Percent,0.05154,211
Williamsbridge,"Carpool, Taxi, Other",2017,Percent,0.08693,212
Williamsburg/Greenpoint,"Carpool, Taxi, Other",2017,Percent,0.04447,301
Fort Greene/Brooklyn Hts,"Carpool, Taxi, Other",2017,Percent,0.02594,302
Bedford Stuyvesant,"Carpool, Taxi, Other",2017,Percent,0.05556,303
Bushwick,"Carpool, Taxi, Other",2017,Percent,0.02648,304
East New York,"Carpool, Taxi, Other",2017,Percent,0.03419,305
Park Slope,"Carpool, Taxi, Other",2017,Percent,0.04563,306
Sunset Park,"Carpool, Taxi, Other",2017,Percent,0.08134,307
Crown Heights North,"Carpool, Taxi, Other",2017,Percent,0.03603,308
Crown Heights South,"Carpool, Taxi, Other",2017,Percent,0.03438,309
Bay Ridge,"Carpool, Taxi, Other",2017,Percent,0.06967,310
Bensonhurst,"Carpool, Taxi, Other",2017,Percent,0.09147,311
Borough Park,"Carpool, Taxi, Other",2017,Percent,0.07581,312
Flatbush/Midwood,"Carpool, Taxi, Other",2017,Percent,0.07089,314
Sheepshead Bay,"Carpool, Taxi, Other",2017,Percent,0.08428,315
East Flatbush,"Carpool, Taxi, Other",2017,Percent,0.0268,317
Canarsie,"Carpool, Taxi, Other",2017,Percent,0.0835,318
Astoria,"Carpool, Taxi, Other",2017,Percent,0.03229,401
Sunnyside/Woodside,"Carpool, Taxi, Other",2017,Percent,0.06039,402
Jackson Heights,"Carpool, Taxi, Other",2017,Percent,0.08236,403
Elmhurst/Corona,"Carpool, Taxi, Other",2017,Percent,0.0547,404
Ridgewood/Glendale,"Carpool, Taxi, Other",2017,Percent,0.04611,405
Rego Park/Forest Hills,"Carpool, Taxi, Other",2017,Percent,0.05317,406
Flushing,"Carpool, Taxi, Other",2017,Percent,0.14275,407
Fresh Meadows/Briarwood,"Carpool, Taxi, Other",2017,Percent,0.06215,408
Woodhaven,"Carpool, Taxi, Other",2017,Percent,0.05551,409
Howard Beach,"Carpool, Taxi, Other",2017,Percent,0.08876,410
Bayside,"Carpool, Taxi, Other",2017,Percent,0.11201,411
Jamaica/St. Albans,"Carpool, Taxi, Other",2017,Percent,0.06617,412
Queens Village,"Carpool, Taxi, Other",2017,Percent,0.09496,413
The Rockaways,"Carpool, Taxi, Other",2017,Percent,0.06201,414
St. George,"Carpool, Taxi, Other",2017,Percent,0.07501,501
South Beach,"Carpool, Taxi, Other",2017,Percent,0.13392,502
Tottenville,"Carpool, Taxi, Other",2017,Percent,0.10086,503
Bronx,"Carpool, Taxi, Other",2017,Percent,0.05573,36005
Brooklyn,"Carpool, Taxi, Other",2017,Percent,0.05424,36047
Manhattan,"Carpool, Taxi, Other",2017,Percent,0.05432,36061
Queens,"Carpool, Taxi, Other",2017,Percent,0.07405,36081
Staten Island,"Carpool, Taxi, Other",2017,Percent,0.10123,36085
New York City,"Carpool, Taxi, Other",2017,Percent,0.0625,3651000
Battery Park/Tribeca,"Carpool, Taxi, Other",2018,Percent,0.04604,101
